id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
324319,KR-0194,heliport,"Bia-ri South Helipad",38.257052,128.04206,NaN,AS,KR,KR-42,"Bia-ri",no,,,,,"","Bia-ri"
324320,KR-0195,heliport,"Bia-ri East Helipad",38.261751,128.047036,NaN,AS,KR,KR-42,"Bia-ri",no,,,,,"","Bia-ri"
324321,KR-0196,heliport,"Geonsol-ri Helipad",38.283061,127.979133,NaN,AS,KR,KR-42,"Geonsol-ri",no,,,,,"","Geonsol-ri"
324322,KR-0197,heliport,"Geonsol-ri South Helipad",38.265432,127.983271,NaN,AS,KR,KR-42,"Geonsol-ri",no,,,,,"","Geonsol-ri"
324323,KR-0198,heliport,"Gobangsal-ri Helipad",38.250514,128.010582,NaN,AS,KR,KR-42,"Gobangsal-ri",no,,,,,"","Gobangsal-ri"
324326,KR-0200,heliport,"Wolun-ri Helipad",38.254708,128.046403,NaN,AS,KR,KR-42,"Wolun-ri",no,,,,,"","Wolun-ri"
324327,KR-0201,heliport,"Geonsol-ri West Helipad",38.27359,127.960183,NaN,AS,KR,KR-42,"Geonsol-ri",no,,,,,"","Geonsol-ri"
324328,KR-0202,heliport,"Geumaki-ri Helipad",38.229966,127.9074865,NaN,AS,KR,KR-42,"Geumaki-ri",no,,,,,"","Geumaki-ri"
324329,KR-0203,heliport,"Cheonmi-ri East Helipad",38.296719,127.904195,NaN,AS,KR,KR-42,"Cheonmi-ri",no,,,,,"","Cheonmi-ri"
324330,KR-0204,heliport,"Deungdae-ri East Helipad",38.284311,127.7766318,NaN,AS,KR,KR-42,"Deungdae-ri",no,,,,,"","Deungdae-ri"
324331,KR-0205,heliport,"Pungsan-ri South Helipad South Helipad",38.247116,127.785713,NaN,AS,KR,KR-42,"Pungsan-ri",no,,,,,"","Pungsan-ri"
324333,KR-0206,heliport,"Mahyeon-ri West Helipad",38.254866,127.579795,NaN,AS,KR,KR-42,"Mahyeon-ri",no,,,,,"","Mahyeon-ri"
324336,KR-0208,heliport,"Eupnae-ri Helipad",38.295227,127.424122,NaN,AS,KR,KR-42,"Eupnae-ri",no,,,,,"","Eupnae-ri"
324337,KR-0209,heliport,"Hoengsan-ri Helipad",38.113047,126.986026,NaN,AS,KR,KR-41,"Hoengsan-ri",no,,,,,"","Hoengsan-ri"
324339,KR-0210,heliport,"Mapo-ri Helipad",37.999331,127.005775,NaN,AS,KR,KR-41,"Mapo-ri",no,,,,,"","Mapo-ri"
324340,KR-0211,heliport,"C-122 Heliport",37.90143,126.735655,NaN,AS,KR,KR-41,"Baegyeon-ri",no,,,RKB9,,"","Baegyeon-ri, C-122, C122"
324346,KR-0212,heliport,"C-820 Heliport",35.386108,129.064072,NaN,AS,KR,KR-48,"Daeseok-ri",no,,,,,"","Daeseok-ri"
324347,KR-0213,heliport,"C-820 Heliport",35.386108,129.064072,NaN,AS,KR,KR-48,"Daeseok-ri",no,,,,,"","Daeseok-ri"
324669,KR-0214,heliport,"Seoul National University Bundang Hospital Helipad",37.352463,127.122985,NaN,AS,KR,KR-11,"Bundang (Seoul)",no,,,,,"","Seoul National University, Bundang"
326624,KR-0216,heliport,"Kkotchi Heliport",37.660332,126.235028,NaN,AS,KR,KR-28,"Kkotchi",no,,,,,"","Kkotchi, 꼿치, Ach’a-do"
326700,KR-0217,heliport,"Jangbong-ri Heliport",37.522958,126.327245,NaN,AS,KR,KR-28,"Jangbong-ri",no,,,,,"","Jangbong-ri"
326701,KR-0218,heliport,"Jangbong-ro Heliport",37.530055,126.335101,NaN,AS,KR,KR-28,"Jangbong-ro",no,,,,,"","Jangbong-ro"
326741,KR-0219,heliport,"Jinhae Naval Hospital Heliport",35.140384,128.650798,NaN,AS,KR,KR-48,"Jinhae",no,,,,,"","Jinhae, Chinhae"
326742,KR-0220,heliport,"Ibam Heliport",34.899652,128.168282,NaN,AS,KR,KR-48,"Chunam-ri",no,,,,,"","Ibam, Sonbawi"
326777,KR-0221,heliport,"Jinhae Naval Academy Heliport",35.133397,128.666034,NaN,AS,KR,KR-48,"Jinhae (Angok-dong)",no,,,,,"","Jinhae Naval Academy; Angok-dong"
326778,KR-0222,heliport,"Jinhae Naval Base (2 helipads)",35.146791,128.636902,NaN,AS,KR,KR-48,"Jinhae",no,,,,,"","Jinhae Naval Base"
326779,KR-0223,heliport,"Jinhae Submarine Base Helipad",35.136864,128.621655,NaN,AS,KR,KR-48,"Jinhae",no,,,,,"","Jinhae Submarine Base"
326808,KR-0224,heliport,"Jinhae Airbase/Airport Heliport",35.136405,128.699126,NaN,AS,KR,KR-48,"Jinhae",no,,,,,"https://en.wikipedia.org/wiki/Jinhae_Airport",""
326812,KR-0225,heliport,"Ch’odo-ri Heliport",38.486465,128.43701,NaN,AS,KR,KR-42,"Ch’odo-ri",no,,,,,"","Ch’odo-ri"
326825,KR-0226,heliport,"Myeongjeong-dong Heliport",34.851535,128.413149,NaN,AS,KR,KR-48,"Myeongjeong",no,,,,,"","Myeongjeong-dong"
326858,KR-0227,heliport,"Samsung Total Petrochemicals Daesan Heliport",37.005903,126.353156,NaN,AS,KR,KR-44,"Daesan",no,,,,,"","Daesan, Samsung Total"
326884,KR-0228,heliport,"LG Chemical Ltd Daesan Complex Heliport",36.997371,126.379938,NaN,AS,KR,KR-44,"Daesan",no,,,,,"","LG Chemical, Daesan"
326895,KR-0229,heliport,"Bunam-ri Heliport",37.365801,129.249538,NaN,AS,KR,KR-42,"Bunam-ri",no,,,,,"","Bunam"
326897,KR-0230,heliport,"Shinan Daewoo Hospital Heliport",34.72165,125.93294,NaN,AS,KR,KR-46,"Sudae-ri",no,,,,,"","Shinan Daewoo Hospital, Sudae-ri"
326898,KR-0231,heliport,"Suchi-do Heliport",34.738381,126.024224,NaN,AS,KR,KR-46,"Suchi-ri",no,,,,,"","Suchi-do, Suchi-ri"
326913,KR-0232,heliport,"Chondung Sa Heliport",37.587476,126.514069,NaN,AS,KR,KR-42,"Donggeom-ri",no,,,,,"","Donggeom-ri, 동검 리"
